computer,time_window,auth_src_event_count,auth_src_success_count,auth_src_failure_count,auth_src_unique_dst_computers,auth_src_unique_dst_users,auth_dst_event_count,auth_dst_success_count,auth_dst_failure_count,auth_dst_unique_src_computers,auth_dst_unique_src_users,flows_out_count,flows_out_unique_dst_computers,flows_out_unique_dst_ports,flows_out_total_duration,flows_out_total_packets,flows_out_total_bytes,flows_out_mean_packets,flows_out_mean_bytes,flows_in_count,flows_in_unique_src_computers,flows_in_unique_src_ports,flows_in_total_duration,flows_in_total_packets,flows_in_total_bytes,flows_in_mean_packets,flows_in_mean_bytes,dns_lookup_count,dns_unique_resolved_computers,proc_event_count,proc_start_count,proc_end_count,proc_unique_users,proc_unique_processes,proc_start_end_imbalance,redteam_src_event_count,redteam_dst_event_count,auth_total_events,auth_total_failures,auth_total_successes,flows_total_events,flows_total_bytes,flows_total_packets,redteam_event_count,redteam_flag,auth_failure_ratio,flows_bytes_per_event,flows_packets_per_event
C1,0,22.0,22.0,0.0,5.0,4.0,9.0,9.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,13.0,13.0,1.0,4.0,0.0,0.0,0.0,31.0,0.0,31.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
C1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
C1,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
C1,212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0
C10,0,16.0,16.0,0.0,2.0,7.0,26.0,26.0,0.0,6.0,6.0,2.0,2.0,0.0,0.0,2.0,92.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,11.0,11.0,2.0,5.0,0.0,0.0,0.0,42.0,0.0,42.0,2.0,92.0,2.0,0.0,0,0.0,45.999999977,0.9999999995
C10,324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1,0.0,0.0,0.0
C100,0,4.0,4.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,44.0,2.0,1.0,0.0,44.0,2024.0,1.0,46.0,43.0,2.0,1.0,0.0,43.0,1978.0,1.0,46.0,0.0,0.0,23.0,23.0,0.0,1.0,11.0,23.0,0.0,0.0,6.0,0.0,6.0,87.0,4002.0,87.0,0.0,0,0.0,45.999999999471264,0.9999999999885058
C1000,0,4.0,4.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,25.0,7.0,4.0,212.0,423.0,103343.0,16.92,4133.72,25.0,7.0,4.0,211.0,407.0,217981.0,16.28,8719.24,0.0,0.0,18.0,18.0,0.0,1.0,8.0,18.0,0.0,0.0,6.0,0.0,6.0,50.0,321324.0,830.0,0.0,0,0.0,6426.479999871471,16.599999999668
C10005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,6.0,424.0,1.2,84.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,424.0,6.0,0.0,0,0.0,84.79999998304,1.19999999976
C10005,206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0
C10005,640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0
C1001,0,21.0,21.0,0.0,7.0,3.0,2.0,2.0,0.0,1.0,2.0,66.0,6.0,4.0,146.0,383.0,89108.0,5.803030303030303,1350.121212121212,64.0,6.0,4.0,146.0,363.0,149204.0,5.671875,2331.3125,0.0,0.0,21.0,21.0,0.0,1.0,10.0,21.0,0.0,0.0,23.0,0.0,23.0,130.0,238312.0,746.0,0.0,0,0.0,1833.1692307551295,5.738461538417397
C10010,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,6.0,424.0,1.2,84.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,424.0,6.0,0.0,0,0.0,84.79999998304,1.19999999976
C1002,0,4.0,4.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,21.0,1.0,1.0,0.0,21.0,966.0,1.0,46.0,21.0,1.0,1.0,0.0,21.0,966.0,1.0,46.0,0.0,0.0,14.0,14.0,0.0,1.0,5.0,14.0,0.0,0.0,6.0,0.0,6.0,42.0,1932.0,42.0,0.0,0,0.0,45.99999999890476,0.9999999999761906
