time,src_user_domain,dst_user_domain,src_computer,dst_computer,auth_type,logon_type,auth_orientation,success,success_flag
1,ANONYMOUS LOGON@C586,ANONYMOUS LOGON@C586,C1250,C586,NTLM,Network,LogOn,Success,1
1,ANONYMOUS LOGON@C586,ANONYMOUS LOGON@C586,C586,C586,?,Network,LogOff,Success,1
1,C101$@DOM1,C101$@DOM1,C988,C988,?,Network,LogOff,Success,1
1,C1020$@DOM1,SYSTEM@C1020,C1020,C1020,Negotiate,Service,LogOn,Success,1
1,C1021$@DOM1,C1021$@DOM1,C1021,C625,Kerberos,Network,LogOn,Success,1
1,C1035$@DOM1,C1035$@DOM1,C1035,C586,Kerberos,Network,LogOn,Success,1
1,C1035$@DOM1,C1035$@DOM1,C586,C586,?,Network,LogOff,Success,1
1,C1069$@DOM1,SYSTEM@C1069,C1069,C1069,Negotiate,Service,LogOn,Success,1
1,C1085$@DOM1,C1085$@DOM1,C1085,C612,Kerberos,Network,LogOn,Success,1
1,C1085$@DOM1,C1085$@DOM1,C612,C612,?,Network,LogOff,Success,1
1,C1151$@DOM1,SYSTEM@C1151,C1151,C1151,Negotiate,Service,LogOn,Success,1
1,C1154$@DOM1,SYSTEM@C1154,C1154,C1154,Negotiate,Service,LogOn,Success,1
1,C1164$@DOM1,C1164$@DOM1,C625,C625,?,Network,LogOff,Success,1
1,C119$@DOM1,C119$@DOM1,C119,C528,Kerberos,Network,LogOn,Success,1
1,C1218$@DOM1,C1218$@DOM1,C1218,C529,Kerberos,Network,LogOn,Success,1
1,C1235$@DOM1,C1235$@DOM1,C586,C586,?,Network,LogOff,Success,1
1,C1241$@DOM1,SYSTEM@C1241,C1241,C1241,Negotiate,Service,LogOn,Success,1
1,C1250$@DOM1,C1250$@DOM1,C1250,C586,Kerberos,Network,LogOn,Success,1
1,C1314$@DOM1,C1314$@DOM1,C1314,C467,Kerberos,Network,LogOn,Success,1
1,C144$@DOM1,SYSTEM@C144,C144,C144,Negotiate,Service,LogOn,Success,1
1,C1444$@DOM1,C1444$@DOM1,C1444,C528,Kerberos,Network,LogOn,Success,1
1,C1492$@DOM1,C1492$@DOM1,C1492,C1492,?,Network,LogOff,Success,1
1,C1492$@DOM1,C1492$@DOM1,C1492,C467,Kerberos,Network,LogOn,Success,1
1,C1492$@DOM1,C1492$@DOM1,C1492,C528,Kerberos,Network,LogOn,Success,1
1,C1492$@DOM1,C1492$@DOM1,C1492,C586,Kerberos,Network,LogOn,Success,1
1,C1492$@DOM1,C1492$@DOM1,C1798,C1492,Kerberos,Network,LogOn,Success,1
1,C1492$@DOM1,C1492$@DOM1,C467,C467,?,Network,LogOff,Success,1
1,C1492$@DOM1,C1492$@DOM1,C586,C586,?,Network,LogOff,Success,1
1,C1497$@DOM1,C1497$@DOM1,C586,C586,?,Network,LogOff,Success,1
1,C1504$@DOM1,U45@C1504,C1504,C1504,Negotiate,Batch,LogOn,Success,1
1,C1543$@DOM1,SYSTEM@C1543,C1543,C1543,Negotiate,Service,LogOn,Success,1
1,C1559$@DOM1,C1559$@DOM1,C528,C528,?,Network,LogOff,Success,1
1,C1678$@DOM1,C1678$@DOM1,C1065,C1065,?,Network,LogOff,Success,1
1,C1678$@DOM1,C1678$@DOM1,C457,C457,?,Network,LogOff,Success,1
1,C1678$@DOM1,C1678$@DOM1,C467,C467,?,Network,LogOff,Success,1
1,C1678$@DOM1,C1678$@DOM1,C528,C528,?,Network,LogOff,Success,1
1,C1678$@DOM1,C1678$@DOM1,C586,C586,?,Network,LogOff,Success,1
1,C1678$@DOM1,C1678$@DOM1,C612,C612,?,Network,LogOff,Success,1
1,C1678$@DOM1,C1678$@DOM1,C625,C625,?,Network,LogOff,Success,1
1,C1727$@DOM1,C1727$@DOM1,C1727,C1881,Kerberos,Network,LogOn,Success,1
1,C1727$@DOM1,C1727$@DOM1,C1727,C2516,?,?,TGS,Success,1
1,C175$@DOM1,SYSTEM@C175,C175,C175,Negotiate,Service,LogOn,Success,1
1,C1767$@DOM1,U86@DOM1,C1767,C1767,Kerberos,Network,LogOn,Success,1
1,C1920$@DOM1,C1920$@DOM1,C1920,C586,Kerberos,Network,LogOn,Success,1
1,C1934$@DOM1,SYSTEM@C1934,C1934,C1934,Negotiate,Service,LogOn,Success,1
1,C1975$@DOM1,SYSTEM@C1975,C1975,C1975,Negotiate,Service,LogOn,Success,1
1,C2067$@DOM1,SYSTEM@C2067,C2067,C2067,Negotiate,Service,LogOn,Success,1
1,C2095$@DOM1,SYSTEM@C2095,C2095,C2095,Negotiate,Service,LogOn,Success,1
1,C210$@DOM1,SYSTEM@C210,C210,C210,Negotiate,Service,LogOn,Success,1
1,C2129$@DOM1,C2129$@DOM1,C457,C457,?,Network,LogOff,Success,1
1,C2155$@DOM1,C2155$@DOM1,C612,C612,?,Network,LogOff,Success,1
1,C2230$@DOM1,C2230$@DOM1,C528,C528,?,Network,LogOff,Success,1
1,C2288$@DOM1,C2288$@DOM1,C467,C467,?,Network,LogOff,Success,1
1,C2288$@DOM1,C2288$@DOM1,C529,C529,?,Network,LogOff,Success,1
1,C235$@DOM1,C235$@DOM1,C1065,C1065,?,Network,LogOff,Success,1
1,C2434$@DOM1,SYSTEM@C2434,C2434,C2434,Negotiate,Service,LogOn,Success,1
1,C2622$@DOM1,SYSTEM@C2622,C2622,C2622,Negotiate,Service,LogOn,Success,1
1,C2648$@DOM1,SYSTEM@C2648,C2648,C2648,Negotiate,Service,LogOn,Success,1
1,C269$@DOM1,C269$@DOM1,C586,C586,?,Network,LogOff,Success,1
1,C2694$@DOM1,C2694$@DOM1,C2695,C528,Kerberos,Network,LogOn,Success,1
1,C2700$@DOM1,SYSTEM@C2700,C2700,C2700,Negotiate,Service,LogOn,Success,1
1,C28$@DOM1,SYSTEM@C28,C28,C28,Negotiate,Service,LogOn,Success,1
1,C282$@DOM1,SYSTEM@C282,C282,C282,Negotiate,Service,LogOn,Success,1
1,C3$@DOM1,SYSTEM@C3,C3,C3,Negotiate,Service,LogOn,Success,1
1,C316$@DOM1,SYSTEM@C316,C316,C316,Negotiate,Service,LogOn,Success,1
1,C3236$@DOM1,SYSTEM@C3236,C3236,C3236,Negotiate,Service,LogOn,Success,1
1,C3327$@DOM1,SYSTEM@C3327,C3327,C3327,Negotiate,Service,LogOn,Success,1
