time,src_computer,resolved_computer
2,C4653,C5030
2,C5782,C16712
6,C1191,C419
15,C3380,C22841
18,C2436,C5030
31,C161,C2109
35,C5642,C528
38,C3380,C22841
42,C2428,C1065
42,C2428,C2109
42,C2428,C586
43,C2428,C528
44,C2428,C2109
49,C5778,C706
50,C2492,C457
51,C1299,C2109
53,C608,C706
59,C2517,C1707
62,C24436,C24436
62,C26743,C26743
62,C5778,C1685
63,C3198,C1707
63,C5778,C1685
65,C1108,C706
65,C2428,C457
66,C2428,C457
71,C4651,C1707
73,C2428,C1685
76,C18636,C1685
76,C18636,C1707
76,C3380,C22841
80,C2303,C25571
87,C2428,C625
88,C2428,C625
89,C5778,C625
91,C1954,C5030
94,C2428,C529
100,C2428,C5030
100,C3380,C22841
104,C2428,C1685
104,C2492,C457
109,C2428,C467
110,C2428,C612
110,C2492,C457
114,C13488,C1707
119,C5913,C706
133,C920,C1685
137,C3380,C22841
140,C1515,C1685
140,C2514,C706
145,C881,C706
150,C5279,C1685
151,C58,C1707
154,C2533,C1685
155,C3163,C528
156,C5913,C586
158,C5913,C467
160,C17733,C1685
160,C5913,C457
161,C17733,C1707
162,C3380,C22841
162,C814,C1685
164,C4616,C706
170,C2492,C457
171,C2604,C231
173,C2464,C1707
173,C484,C706
175,C3198,C706
178,C806,C1707
179,C64,C1707
185,C366,C1685
190,C24057,C1707
198,C3380,C22841
198,C5913,C457
199,C4081,C5030
208,C3238,C5721
209,C3238,C585
211,C5917,C1763
212,C1624,C625
212,C5917,C1065
212,C5917,C2109
212,C5917,C529
213,C2760,C5030
213,C453,C1707
213,C5917,C457
217,C5875,C586
220,C3484,C706
223,C2626,C1685
223,C2683,C1685
224,C3380,C22841
230,C2492,C457
232,C2459,C706
236,C366,C706
239,C1191,C456
249,C5778,C467
250,C18636,C3953
250,C1928,C1707
250,C5778,C2109
251,C18636,C96
252,C5778,C1065
252,C5778,C625
259,C2320,C5588
259,C3380,C22841
262,C2584,C706
265,C4693,C5030
268,C2735,C5030
277,C4367,C5030
280,C5875,C586
281,C5917,C529
283,C5917,C612
286,C3380,C22841
290,C2492,C457
299,C2492,C457
309,C5778,C586
309,C5778,C625
311,C5778,C625
312,C2159,C743
312,C5778,C586
315,C1191,C1685
315,C2159,C46
316,C2278,C231
317,C2159,C585
320,C3380,C22841
323,C5917,C706
327,C4559,C1685
341,C9201,C9201
342,C902,C1685
348,C3380,C22841
350,C2492,C457
350,C831,C1685
351,C5917,C457
356,C2438,C706
356,C4081,C529
356,C843,C1065
360,C24595,C1685
360,C24595,C1707
366,C4215,C5030
366,C5917,C1065
368,C1142,C706
369,C1928,C586
369,C2278,C706
371,C22442,C359
375,C3664,C5030
379,C4131,C1685
381,C3380,C22841
382,C3165,C529
382,C3165,C706
396,C3444,C706
402,C154,C1707
405,C3143,C1707
409,C15182,C15182
410,C3380,C22841
411,C2492,C457
416,C3451,C5030
416,C5176,C706
427,C1420,C612
432,C515,C5030
434,C2320,C467
435,C18345,C18345
442,C3380,C22841
450,C337,C5030
455,C1102,C2109
456,C3163,C612
457,C2769,C1533
470,C3021,C706
471,C2492,C457
472,C3380,C22841
