time,duration,src_computer,src_port,dst_computer,dst_port,protocol,packet_count,byte_count
1,0,C1065,389.0,C3799,,6,10,5323
1,0,C1423,,C1707,,6,5,847
1,0,C1423,,C1707,,6,5,847
1,0,C14909,,C5720,2049.0,6,1,52
1,0,C14909,,C5720,2049.0,6,1,52
1,0,C14909,,C5720,2049.0,6,1,52
1,0,C1707,,C1423,,6,4,414
1,0,C1707,,C1423,,6,4,413
1,0,C1707,,C925,,6,4,414
1,0,C1707,,C925,,6,4,413
1,0,C3587,,C528,,1,2,120
1,0,C3799,,C1065,389.0,6,12,3007
1,0,C4879,,C585,139.0,6,1,46
1,0,C528,,C3587,,1,2,120
1,0,C5720,2049.0,C14909,,6,1,52
1,0,C5720,2049.0,C14909,,6,1,52
1,0,C5720,2049.0,C14909,,6,1,52
1,0,C8177,,C7632,,6,1,48
1,0,C925,,C1707,,6,4,810
1,0,C925,,C1707,,6,4,810
1,10,C3587,,C528,445.0,6,17,4369
1,10,C528,445.0,C3587,,6,15,2418
1,15,C1799,,C1707,,6,6,1222
1,6,C1707,,C1799,,6,4,2755
1,60,C4254,,C5720,445.0,6,20,2440
1,60,C5720,445.0,C4254,,6,18,1552
1,9,C3090,,C14005,,6,3,144
1,9,C3090,,C3420,,6,3,144
1,9,C3538,,C3371,,6,3,144
2,0,C4316,,C5030,443.0,6,2,92
2,0,C5030,443.0,C4316,,6,1,46
2,0,C7954,,C5721,137.0,17,1,78
2,1,C3173,,C1554,,6,3,138
2,10,C172,,C1707,,6,6,1223
2,10,C2683,,C1685,,6,6,1209
2,11,C500,,C1685,,6,9,2901
2,6,C1685,,C2683,,6,4,2749
2,6,C1685,,C500,,6,6,2980
2,6,C1707,,C172,,6,4,2755
2,60,C2588,,C770,,6,3,138
2,60,C3640,445.0,C1294,,6,3,237
3,0,C11573,111.0,C5736,,17,1,56
3,0,C5736,,C11573,111.0,17,1,84
3,0,C8177,,C7632,,6,1,48
3,10,C3352,,C1685,,6,9,2988
3,10,C54,,C1685,,6,6,1223
3,15,C528,445.0,C1587,,6,9,1653
3,4,C18263,,C2270,,1,5,420
3,4,C2270,,C18263,,1,5,420
3,6,C1685,,C3352,,6,6,2972
3,6,C1685,,C54,,6,4,2752
4,0,C1056,445.0,C379,,6,1,46
4,0,C1878,,C706,80.0,6,1,46
4,0,C379,,C1056,445.0,6,1,52
4,0,C5736,445.0,C893,,6,1,46
4,0,C893,,C5736,445.0,6,1,46
4,10,C3666,,C1685,,6,6,1213
4,5,C1685,,C3666,,6,4,2752
4,60,C4812,,C5721,445.0,6,59,15826
4,60,C5640,445.0,C23382,,6,2,338
4,9,C5089,,C3371,,6,3,152
4,9,C5089,,C24735,,6,3,152
4,9,C5089,,C3469,,6,3,152
4,9,C5089,,C4847,,6,3,152
4,9,C5089,,C4116,,6,3,152
4,9,C5089,,C128,,6,3,152
4,9,C5089,,C3935,,6,3,152
4,9,C5089,,C3971,,6,3,152
5,0,C11573,111.0,C5736,,17,1,56
5,0,C15930,,C2588,,6,5,272
5,0,C1707,,C1607,,6,1,46
5,0,C20101,,C5720,,6,6,364
5,0,C20101,,C5720,,6,6,428
5,0,C20101,,C5720,111.0,6,6,380
5,0,C24954,,C10022,,6,1,48
5,0,C24954,,C10022,,6,1,48
5,0,C2588,,C15930,,6,3,168
5,0,C4254,,C457,88.0,17,1,1386
5,0,C4254,,C457,88.0,17,1,1400
5,0,C4254,,C612,389.0,17,1,236
5,0,C4254,,C457,88.0,17,1,1416
5,0,C4254,,C457,88.0,17,1,1400
5,0,C457,389.0,C5611,,17,1,191
