time,user_domain,src_computer,dst_computer,redteam_flag
150885,U620@DOM1,C17693,C1003,1
151036,U748@DOM1,C17693,C305,1
151648,U748@DOM1,C17693,C728,1
151993,U6115@DOM1,C17693,C1173,1
153792,U636@DOM1,C17693,C294,1
155219,U748@DOM1,C17693,C5693,1
155399,U748@DOM1,C17693,C152,1
155460,U748@DOM1,C17693,C2341,1
155591,U748@DOM1,C17693,C332,1
156658,U748@DOM1,C17693,C4280,1
210086,U748@DOM1,C18025,C1493,1
210294,U748@DOM1,C18025,C1493,1
210312,U748@DOM1,C18025,C1493,1
218418,U748@DOM1,C17693,C504,1
227052,U748@DOM1,C17693,C148,1
227408,U748@DOM1,C17693,C148,1
227520,U748@DOM1,C17693,C148,1
227780,U748@DOM1,C17693,C148,1
228024,U748@DOM1,C17693,C148,1
228150,U748@DOM1,C17693,C148,1
228642,U1723@DOM1,C17693,C231,1
228658,U1723@DOM1,C17693,C231,1
229046,U1723@DOM1,C17693,C231,1
230395,U1723@DOM1,C17693,C1003,1
234667,U748@DOM1,C17693,C504,1
460197,U748@DOM1,C17693,C721,1
460711,U748@DOM1,C17693,C721,1
460991,U748@DOM1,C17693,C721,1
461842,U748@DOM1,C17693,C1567,1
463374,U748@DOM1,C17693,C1003,1
464246,U748@DOM1,C17693,C1567,1
464254,U748@DOM1,C17693,C1567,1
464260,U748@DOM1,C17693,C1567,1
464545,U737@DOM1,C19932,C612,1
466195,U737@DOM1,C19932,C457,1
467590,U1723@DOM1,C17693,C17600,1
472248,U1723@DOM1,C17693,C2519,1
472282,U1723@DOM1,C17693,C2519,1
473122,U1723@DOM1,C17693,C1275,1
483455,U1723@DOM1,C17693,C294,1
483981,U1723@DOM1,C17693,C294,1
485925,U1723@DOM1,C17693,C294,1
486443,U636@DOM1,C17693,C294,1
488034,U1723@DOM1,C17693,C1275,1
489614,U1723@DOM1,C17693,C1275,1
491747,U1723@DOM1,C17693,C294,1
578438,U737@DOM1,C19932,C1065,1
584551,U825@DOM1,C17693,C2669,1
584564,U737@DOM1,C19932,C612,1
635015,U737@DOM1,C19932,C529,1
725488,U1653@DOM1,C17693,C395,1
725589,U1653@DOM1,C17693,C2669,1
725983,U293@DOM1,C17693,C3153,1
726008,U8946@DOM1,C17693,C1610,1
726057,U293@DOM1,C17693,C3153,1
726137,U10379@C3521,C17693,C3521,1
726203,U293@DOM1,C17693,C3153,1
726347,U8946@DOM1,C17693,C1124,1
726387,U293@DOM1,C17693,C3153,1
726472,U8946@DOM1,C17693,C3199,1
726973,U293@DOM1,C17693,C3153,1
726985,U8946@DOM1,C17693,C11727,1
727060,U8601@DOM1,C17693,C754,1
727131,U212@DOM1,C17693,C126,1
727419,U212@DOM1,C17693,C126,1
727619,U212@DOM1,C17693,C126,1
727702,U8946@DOM1,C17693,C9945,1
727798,U8946@DOM1,C17693,C9945,1
727888,U8946@DOM1,C17693,C9945,1
728106,U4978@DOM1,C17693,C1448,1
728138,U8946@DOM1,C17693,C9945,1
728800,U3905@DOM1,C17693,C9945,1
729056,U995@DOM1,C17693,C1014,1
730430,U8601@DOM1,C17693,C20819,1
730524,U8601@DOM1,C17693,C20819,1
730889,U8601@DOM1,C17693,C18626,1
731101,U8601@DOM1,C17693,C18626,1
731492,U288@DOM1,C17693,C1222,1
